university_id,university_name,province,city,type,specialization,programs_offered,eligibility_criteria,fee_range_year_min,fee_range_year_max,application_window,apply_url,website,ranking_tier
ned,NED University of Engineering & Technology,Sindh,Karachi,public,"Engineering, IT","BE EE/ME/Civil/CE, BS CS/SE",Pre-Eng/ICS â‰¥60% + entry test,60000,150000,Junâ€“Aug,https://www.neduet.edu.pk/admissions,https://www.neduet.edu.pk,A
duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,public,"Engineering, IT","BE EE/CE/AE/Industrial, BS CS",Pre-Eng â‰¥60% + entry test,40000,120000,Junâ€“Aug,https://www.duet.edu.pk/admissions,https://www.duet.edu.pk,B
fast-khi,FAST-NUCES Karachi,Sindh,Karachi,private,"IT, CS, Engineering, Business","BS CS/SE/AI, BEE, BBA; MS/PhD",ICS/Pre-Eng â‰¥60% + FAST test/SAT,300000,500000,Junâ€“Aug,https://nu.edu.pk/admissions,https://nu.edu.pk,A
iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,private,"Business, IT","BBA, BS CS/AI, MBA/MS",Inter â‰¥50â€“60% + test/interview,350000,600000,Junâ€“Sep,https://admissions.iobm.edu.pk/,https://www.iobm.edu.pk,A
szabist-khi,SZABIST Karachi,Sindh,Karachi,private,"Business, IT, Engineering","BBA, BS CS/SE, BE; MBA/MS/PhD",Inter â‰¥50â€“60% + test/interview,250000,500000,Junâ€“Sep,https://szabist.edu.pk/admissions,https://szabist.edu.pk,B
pafkiet,PAF-KIET,Sindh,Karachi,private,"IT, Business, EE","BS CS/SE, BEE, BBA; MBA/MS",Inter â‰¥50â€“60% + test/interview,180000,300000,Junâ€“Sep,https://admissions.pafkiet.edu.pk/,https://www.pafkiet.edu.pk,B
dsu,DHA Suffa University (DSU),Sindh,Karachi,private,"Engineering, IT, Business","BE ME/EE, BS CS/SE, BBA; MBA/MS",Inter â‰¥50â€“60% + test/interview,220000,400000,Junâ€“Sep,https://www.dsu.edu.pk/admissions,https://www.dsu.edu.pk,B
maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,private,"IT, Engineering, Business","BS CS/SE, BE, BBA; MBA/MS/PhD",Inter â‰¥50â€“60% + test/interview,200000,360000,Junâ€“Sep,https://www.jinnah.edu.pk/admissions,https://www.jinnah.edu.pk,B
iqra,Iqra University,Sindh,Karachi,private,"Business, IT","BBA, BS CS/SE; MBA/MS/PhD",Inter â‰¥50â€“60% + test/interview,150000,300000,Julâ€“Sep,https://iqra.edu.pk/admissions,https://iqra.edu.pk,B
bahria-khi,Bahria University Karachi Campus,Sindh,Karachi,semi-public,"IT, Business, EE","BS CS/SE, BEE, BBA; MBA/MS/PhD",Inter â‰¥50â€“60% + test/SAT,220000,380000,Junâ€“Sep,https://bahria.edu.pk/admissions,https://bahria.edu.pk,B
muet,Mehran University of Engineering & Technology (MUET),Sindh,Jamshoro,public,"Engineering, IT","BE/BS Engg, BS CS/SE; MS/PhD",Pre-Eng â‰¥60% + entry test,50000,120000,Junâ€“Aug,https://www.muet.edu.pk/admissions,https://www.muet.edu.pk,B
quest,QUEST Nawabshah,Sindh,Nawabshah,public,"Engineering, IT","BE EE/CE/ME, BS CS/SE",Pre-Eng â‰¥60% + entry test,50000,120000,Junâ€“Aug,https://www.quest.edu.pk/admissions,https://www.quest.edu.pk,B
sukkur-iba,Sukkur IBA University,Sindh,Sukkur,public,"Business, IT","BBA, BS CS/DS; MBA/MS/PhD",Inter â‰¥50â€“60% + test/interview,80000,200000,Junâ€“Sep,https://www.iba-suk.edu.pk/admissions,https://www.iba-suk.edu.pk,A
uet-lhr,UET Lahore,Punjab,Lahore,public,"Engineering, IT","BE/BS Engg, BS CS/SE; MS/PhD",Pre-Eng â‰¥60% + ECAT,50000,150000,Junâ€“Aug,https://admission.uet.edu.pk/,https://uet.edu.pk,A
uettaxila,UET Taxila,Punjab,Taxila,public,"Engineering, IT","BE/BS Engg, BS CS/SE; MS/PhD",Pre-Eng â‰¥60% + ECAT,50000,150000,Junâ€“Aug,https://admissions.uettaxila.edu.pk/,https://uettaxila.edu.pk,B
fast-lhr,FAST-NUCES Lahore,Punjab,Lahore,private,"IT, CS, Engineering, Business","BS CS/SE/AI, BEE, BBA; MS/PhD",ICS/Pre-Eng â‰¥60% + FAST test/SAT,300000,500000,Junâ€“Aug,https://nu.edu.pk/admissions,https://nu.edu.pk,A
lums,LUMS,Punjab,Lahore,private,"Business, CS/Engineering","BSc/BS, MBA/MS/PhD",Holistic + LUMS Test/SAT/GMAT/GRE,800000,1400000,Aprâ€“Aug,https://admissions.lums.edu.pk/,https://lums.edu.pk,A
pucit,PUCIT (Punjab University),Punjab,Lahore,public,"IT, CS",BS CS/SE/DS; MS/PhD,Inter â‰¥60% + departmental test,80000,150000,Julâ€“Sep,https://pucit.edu.pk/admissions,https://pucit.edu.pk,B
itu,Information Technology University (ITU),Punjab,Lahore,public,"IT, CS, EE, Data",BS CS/EE/DS; MS/PhD,ICS/Pre-Eng â‰¥60% + ITU test,150000,350000,Junâ€“Aug,https://itu.edu.pk/admissions,https://itu.edu.pk,B
comsats-lhr,COMSATS Lahore,Punjab,Lahore,public,"IT, Engineering, Business","BS CS/SE, BBA; MS/PhD",Inter â‰¥50â€“60% + NTS/COMSATS test,100000,250000,Junâ€“Sep,https://lahore.comsats.edu.pk/admissions,https://lahore.comsats.edu.pk,B
