university_id,university_name,province,city,type,specialization,programs_offered,eligibility_criteria,fee_range_year_min,fee_range_year_max,application_window,apply_url,website,ranking_tier,notes
ned,NED University of Engineering & Technology,Sindh,Karachi,public,"Engineering, IT","BE EE/ME/Civil/CE, BS CS/SE",Pre-Eng/ICS ≥60% + entry test,60000,150000,Jun–Aug,https://www.neduet.edu.pk/admissions,https://www.neduet.edu.pk,A,
duet,Dawood University of Engineering & Technology (DUET),Sindh,Karachi,public,"Engineering, IT","BE EE/CE/AE/Industrial, BS CS",Pre-Eng ≥60% + entry test,40000,120000,Jun–Aug,https://www.duet.edu.pk/admissions,https://www.duet.edu.pk,B,
fast-khi,FAST-NUCES Karachi,Sindh,Karachi,private,"IT, CS, Engineering, Business","BS CS/SE/AI, BEE, BBA; MS/PhD",ICS/Pre-Eng ≥60% + FAST test/SAT,300000,500000,Jun–Aug,https://nu.edu.pk/admissions,https://nu.edu.pk,A,
iobm,Institute of Business Management (IoBM/CBM),Sindh,Karachi,private,"Business, IT","BBA, BS CS/AI, MBA/MS",Inter ≥50–60% + test/interview,350000,600000,Jun–Sep,https://admissions.iobm.edu.pk/,https://www.iobm.edu.pk,A,
szabist-khi,SZABIST Karachi,Sindh,Karachi,private,"Business, IT, Engineering","BBA, BS CS/SE, BE; MBA/MS/PhD",Inter ≥50–60% + test/interview,250000,500000,Jun–Sep,https://szabist.edu.pk/admissions,https://szabist.edu.pk,B,
pafkiet,PAF-KIET,Sindh,Karachi,private,"IT, Business, EE","BS CS/SE, BEE, BBA; MBA/MS",Inter ≥50–60% + test/interview,180000,300000,Jun–Sep,https://admissions.pafkiet.edu.pk/,https://www.pafkiet.edu.pk,B,
dsu,DHA Suffa University (DSU),Sindh,Karachi,private,"Engineering, IT, Business","BE ME/EE, BS CS/SE, BBA; MBA/MS",Inter ≥50–60% + test/interview,220000,400000,Jun–Sep,https://www.dsu.edu.pk/admissions,https://www.dsu.edu.pk,B,
maju,Mohammad Ali Jinnah University (MAJU),Sindh,Karachi,private,"IT, Engineering, Business","BS CS/SE, BE, BBA; MBA/MS/PhD",Inter ≥50–60% + test/interview,200000,360000,Jun–Sep,https://www.jinnah.edu.pk/admissions,https://www.jinnah.edu.pk,B,
iqra,Iqra University,Sindh,Karachi,private,"Business, IT","BBA, BS CS/SE; MBA/MS/PhD",Inter ≥50–60% + test/interview,150000,300000,Jul–Sep,https://iqra.edu.pk/admissions,https://iqra.edu.pk,B,
bahria-khi,Bahria University Karachi Campus,Sindh,Karachi,semi-public,"IT, Business, EE","BS CS/SE, BEE, BBA; MBA/MS/PhD",Inter ≥50–60% + test/SAT,220000,380000,Jun–Sep,https://bahria.edu.pk/admissions,https://bahria.edu.pk,B,
muet,Mehran University of Engineering & Technology (MUET),Sindh,Jamshoro,public,"Engineering, IT","BE/BS Engg, BS CS/SE; MS/PhD",Pre-Eng ≥60% + entry test,50000,120000,Jun–Aug,https://www.muet.edu.pk/admissions,https://www.muet.edu.pk,B,
quest,QUEST Nawabshah,Sindh,Nawabshah,public,"Engineering, IT","BE EE/CE/ME, BS CS/SE",Pre-Eng ≥60% + entry test,50000,120000,Jun–Aug,https://www.quest.edu.pk/admissions,https://www.quest.edu.pk,B,
sukkur-iba,Sukkur IBA University,Sindh,Sukkur,public,"Business, IT","BBA, BS CS/DS; MBA/MS/PhD",Inter ≥50–60% + test/interview,80000,200000,Jun–Sep,https://www.iba-suk.edu.pk/admissions,https://www.iba-suk.edu.pk,A,
uet-lhr,UET Lahore,Punjab,Lahore,public,"Engineering, IT","BE/BS Engg, BS CS/SE; MS/PhD",Pre-Eng ≥60% + ECAT,50000,150000,Jun–Aug,https://admission.uet.edu.pk/,https://uet.edu.pk,A,
uettaxila,UET Taxila,Punjab,Taxila,public,"Engineering, IT","BE/BS Engg, BS CS/SE; MS/PhD",Pre-Eng ≥60% + ECAT,50000,150000,Jun–Aug,https://admissions.uettaxila.edu.pk/,https://uettaxila.edu.pk,B,
fast-lhr,FAST-NUCES Lahore,Punjab,Lahore,private,"IT, CS, Engineering, Business","BS CS/SE/AI, BEE, BBA; MS/PhD",ICS/Pre-Eng ≥60% + FAST test/SAT,300000,500000,Jun–Aug,https://nu.edu.pk/admissions,https://nu.edu.pk,A,
